OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,2215,6772,8427,5535,767,4519,7324,1112,3659,8331,797,7190,5812,3408,2856,7417,3816,8098,4266,9342
+,8638,6591,7065,7467,2398,3356,9460,5161,6723,2342,5655,4514,4455,2900,2505,420,8457,7464,3963,4527
+,8924,3807,3054,2320,5458,824,340,8989,6139,2862,6656,384,5381,3897,238,8834,9263,2854,2198,277
+,6031,6126,3131,8095,4674,5400,9108,6652,3421,5839,8345,776,7966,3368,628,5064,9348,6859,51,8685
+,1956,6366,7944,1755,6538,7033,820,2254,1349,3680,8335,4813,9222,5652,2286,8851,7386,752,2171,6999
+,7927,2601,8204,443,6773,7029,4022,3318,178,270,4700,2044,3377,2379,9072,8161,9260,2658,7481,1484
+,3528,4891,4703,4723,9842,1931,5257,5736,9072,3707,447,2462,781,5948,9383,3661,1873,9123,1394,9833
+,7230,7865,6011,7986,9604,6505,7998,5074,4028,8349,8160,2573,2916,3972,1380,7593,510,1563,5374,4240
+,7854,366,6581,5325,7998,3587,6815,1609,591,7690,7660,2611,769,8625,7650,951,5559,9983,2192,3805
+,9593,4397,5530,3476,6789,2597,7070,441,2688,4657,1464,5313,6047,3830,8761,1084,2494,8392,2519,5884
+,114,8186,5546,2060,2008,9153,3607,7238,6986,5913,7642,6809,4236,9475,2045,8886,6919,7084,5914,7821
+,8754,5504,6521,1427,5852,9231,9457,4473,8254,5418,3128,8176,2320,8834,8986,6219,5663,4620,3490,853
+,7360,8573,5954,4008,7819,99,4357,5560,3155,9012,1018,2989,1246,7203,7298,3135,4945,6022,7647,7078
+,1788,7647,4389,6658,8565,585,4853,5542,970,1,7430,3574,1038,6728,6506,8073,9063,3958,7477,1795
+,5687,4973,7442,8476,2207,5775,2162,6159,4698,4718,4922,8847,6775,8097,3131,8464,2340,23,609,6152
+,3981,8752,8153,3565,3641,8358,8042,7759,2503,3308,1562,3561,7361,255,2089,7342,4966,8378,6034,6527
+,3570,7716,4721,15,6216,3431,6992,3050,8472,3986,9595,2782,9640,34,2455,8752,8202,3288,2305,1168
+,81,1633,9957,1487,4269,9684,128,2195,4250,9300,8645,4109,3972,5287,6250,9270,4908,4592,4369,13
+,5706,402,2802,6101,5737,2298,5908,3257,7408,9822,7101,4466,2709,2672,8778,8589,6160,3658,6567,4291
+,1726,9688,2711,9255,9145,5965,2791,3440,8400,707,4836,447,6071,3109,8111,9165,6971,6925,1846,9109
+,1727,4573,5207,4613,2384,3852,9091,8372,2117,3168,2911,2999,7276,876,9768,5808,8047,5420,5713,1695
+,2849,6480,3900,2645,6415,2704,2514,5524,8747,2407,7923,401,7744,5975,7770,1868,839,7474,5092,3229
+,9691,9864,7390,5896,5732,4812,1312,927,6818,1238,8726,4545,2588,9890,4269,1136,4753,1089,7377,6483
+,4367,864,6205,3435,5571,6455,3051,4455,2014,4017,2021,5284,5195,2826,9563,4809,1733,5953,9445,8250
+,1672,8557,7734,9577,6496,1236,2163,6019,3760,6003,150,3990,1035,4505,7938,376,4704,2750,3495,6810
+,8465,5232,1805,971,4743,8937,4877,6024,9794,3133,7446,803,7173,2951,5373,1601,8911,8813,1591,380
+,3614,3629,2427,9773,8007,5663,7053,4126,8691,9482,7254,4322,4657,539,4517,554,8842,6417,8697,7374
+,5567,7371,9686,8769,5532,3103,6403,5295,2676,6819,8318,9994,9912,7582,404,495,9051,4882,2818,9149
-,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4334,9875,3392,7125,2554,9362,1669,4556,3556,1758,7920,427,1868,1729,3379,4035,7894,9681,512,7805
+,6239,41,5860,8951,9867,9344,6900,5960,1846,913,3030,9531,654,6554,4981,9426,2650,7376,273,1830
+,9159,1991,953,5445,2376,4326,9281,7582,5285,4602,7056,7426,2085,374,2564,8966,7938,1971,2759,6062
+,9363,1082,5792,166,4691,9928,8694,3558,1202,3798,8612,378,3657,9081,4453,502,7981,6840,9805,9378
+,3194,1879,9012,3456,4272,3155,4424,3266,7748,1560,4655,8443,1752,9508,9769,9844,676,4172,4077,2823
+,7470,7594,2385,6924,6189,2756,9037,4210,5631,2469,5212,5594,7020,9682,2623,5727,9028,3117,5414,5128
+,787,2436,4751,1741,5733,866,9366,9714,2674,3143,312,7846,3184,9839,1024,4932,6087,4507,9028,9555
+,6832,1155,9035,8513,2944,9258,8593,6344,4910,5514,130,7556,4150,4166,9236,7477,6659,7471,8967,7506
+,3228,4167,6378,7537,8377,47,7262,2138,5423,1281,2804,2450,6254,2401,8238,421,6603,739,9915,7520
+,3958,4417,6435,9165,8290,6293,5137,8328,6079,4881,2952,1708,6477,8680,2181,84,3919,4954,6886,305
+,1850,4205,9415,782,4757,3553,4363,1343,4121,5782,1820,5736,7699,7626,5248,84,5857,5072,4480,9807
+,9416,3238,4021,9863,7924,6012,7277,9517,1899,6956,9793,7287,2500,4253,3196,5494,3282,9058,5739,7319
+,4392,2928,4088,3149,7149,2829,9944,6778,2570,4865,9372,3186,3883,9061,8255,6996,295,6925,8826,6945
-,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,539,8163,7042,5237,6935,5963,3678,5511,6033,3975,7625,5797,3850,3933,1222,4743,4796,4375,3507,4219
+,453,2612,9839,7837,8864,7341,1230,6380,6826,6849,9419,2636,340,2002,5242,2743,6282,2115,5381,2441
+,6635,515,146,3895,8638,1837,4060,4817,1638,1656,9062,8673,2638,3994,6571,1478,2864,596,4874,5190
+,9347,8143,5732,2375,8217,2699,8829,8328,4717,8832,8781,6608,4325,8247,2320,5922,5998,810,1146,5644
+,998,9369,5519,6212,4100,7407,5061,2127,6637,2029,692,9461,3723,6197,168,8752,6232,2578,8414,5579
+,3646,4382,2696,3258,5738,1929,7060,8909,136,7877,3231,6591,9500,4781,6451,263,971,4140,627,5677
-,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2309,608,2030,1352,4308,6892,6848,3546,866,9443,9446,5650,5693,2813,1688,8653,3948,6670,9081,4088
-,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9413,4525,5283,720,707,5452,5707,6355,8799,8031,7416,6466,7960,7676,6596,6272,1115,3559,7171,4989
-,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,692,8886,8342,4396,7717,2619,6551,9177,9909,8145,1842,1012,9778,9300,1782,9829,6161,4293,1453,221
+,9035,3320,5131,3528,472,5145,4567,5743,46,9507,4911,843,2134,8198,7698,3010,3996,9667,7753,601
+,4626,1039,6202,1517,1998,5531,409,5834,1058,9286,3512,5298,298,4249,8314,9378,372,9723,4862,9827
+,6766,3354,8866,4275,7733,8142,820,8289,513,1317,758,8285,7500,7151,1355,7275,4370,4266,902,6251
+,5997,1528,7416,4533,9436,2445,478,6706,6077,3066,3565,9876,8020,886,6108,2833,8414,3335,3992,8746
+,7631,1681,1819,9523,245,2511,119,995,7269,3430,5635,5159,7841,6890,8309,6665,4035,2522,2968,1087
+,9572,5649,8482,5231,5529,8204,8068,982,3672,7031,8886,7200,8036,9817,6031,8762,9401,6378,7371,7514
+,2538,3621,1583,6602,5927,3354,373,5492,4967,627,4711,6442,3348,2275,1120,5123,3613,1479,1168,1381
+,1269,3269,779,6440,2420,7737,4974,8132,9094,9912,9752,6311,1011,4587,7644,344,9795,6134,4956,1271
+,7389,3765,5140,4064,4098,8269,7936,3558,365,1331,7519,1136,9980,576,3535,4288,9575,8649,4644,4565
+,8999,2411,5372,9673,9654,6485,5492,7551,9895,9022,6744,9698,8429,331,2878,4063,2102,8839,6488,7301
+,9044,9122,2938,6459,2091,9316,1254,4447,1879,3444,412,2346,2713,9229,563,53,5677,8455,5020,9208
+,9061,5145,6718,7128,5414,8288,8246,5423,9850,176,7485,509,7439,269,5385,5612,4005,9741,3647,6763
+,4728,222,9561,459,5501,4849,5272,6023,9456,4380,8158,3614,4509,7294,3564,1217,4493,5513,1303,2054
+,8786,9270,3487,7621,6885,5125,4676,5389,2092,8884,1819,6202,9227,2433,2302,6149,3075,6412,7736,793
+,9011,2254,135,4569,7656,3134,5941,6010,9026,7717,5942,7983,3300,1700,2246,5655,4500,7690,2577,4108
+,4107,1125,8467,6356,6121,9330,1863,4491,3275,5559,2917,1706,1106,7963,5926,992,8057,3854,1198,6009
+,8977,9638,8426,6594,183,3565,1492,6497,6863,4229,6566,9278,368,6210,7666,7249,319,3012,5717,2484
+,8627,8880,1366,7801,7425,1143,7885,9053,4766,9220,1394,326,7082,8718,1926,3656,2452,1107,5182,5327
+,2501,3837,197,7226,3114,1944,9659,9688,2714,2991,7566,2209,1694,2507,5235,1916,7364,7276,5215,608
+,4879,8229,50,2291,1432,6442,1489,6705,1679,6258,746,4467,4740,222,7182,3145,5481,3984,6821,4625
+,2548,5898,266,8744,8063,2833,9866,1437,1809,3579,8630,6359,3418,4703,7505,5112,4118,5841,7417,5232
+,2699,1904,2386,9910,1388,6387,9041,8199,5626,3913,9796,5624,56,3620,2055,5650,5104,3925,3720,8274
+,8293,6401,5293,4114,3300,7255,2052,4614,1236,8859,6111,412,4466,1978,2143,325,2948,9444,2924,2601
+,5253,5711,9270,8201,4084,5758,6763,5515,5358,657,2105,2438,1791,8140,8330,81,7857,6723,3408,3384
+,1416,3884,6747,2546,6955,3932,9751,7711,4885,6512,8242,1691,4324,8955,6893,2844,1316,5625,8273,9142
+,392,3348,3017,9207,5393,2945,5911,4733,651,9790,651,7223,1809,8813,6775,6936,1405,1402,4167,5054
+,447,4051,3853,4291,7298,678,9455,4159,8241,711,2719,1785,8513,1722,7169,2862,5123,4113,5197,8700
+,1686,135,7120,137,5309,8519,457,7577,8790,432,63,2574,4177,92,2138,4154,3538,2365,8455,4660
+,3066,6564,1280,8335,7105,9740,3208,1588,9362,339,8788,8588,9721,3772,1720,3390,5603,1164,1898,7054
+,544,2895,6045,6162,9774,5386,7504,1351,5973,8927,5913,3931,3346,8234,4195,3443,774,4368,5048,785
+,3577,6108,8603,9914,1006,4901,476,4,5477,8743,4477,5150,997,1215,5719,6360,3744,8374,5771,4918
+,6770,4593,6837,392,3739,7152,2038,9136,8574,3239,4858,5643,7839,3417,9728,7928,7837,8421,1746,6231
+,5924,6306,3046,9606,1964,5955,1950,797,9565,8191,8280,8425,981,5953,8303,6142,9560,5966,2534,4713
+,3786,7505,5525,348,2492,2319,8862,7693,8505,2074,2948,3243,2549,1454,3265,6995,2755,801,8828,4158
+,6542,781,9636,1524,3753,1083,8660,5286,6798,1242,3182,976,3551,8161,2937,5770,2718,8969,6799,480
+,7476,7598,2013,3242,8439,875,1571,1009,4305,9366,804,953,8716,9606,3106,6286,1238,9343,2685,4520
+,9417,2608,6297,6908,4472,6699,4205,7248,9619,4142,9223,5603,8851,4631,8109,4828,1524,3230,4633,8817
+,4376,2394,16,9815,2946,803,1559,4884,635,9565,3283,91,2971,9132,4631,9391,7597,9371,2412,5879
-,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1048,2708,3263,5229,479,9120,9992,765,8504,4461,2017,4615,9577,9808,7522,1004,4963,2839,1373,8245
+,937,7800,3370,2508,7832,8398,8681,9453,3312,5174,7966,9862,278,1366,6561,8395,3287,1819,5996,7627
+,1705,3470,3437,9922,2064,2421,2012,8332,3957,5126,4819,1316,2804,3326,5344,1457,365,7704,2246,9272
+,5710,7390,3388,1073,9974,4742,8946,1752,7366,7145,6773,8325,9010,3062,6422,4786,2512,8266,9797,4626
+,4624,5,10000,5878,1571,4205,7089,6097,7921,67,7942,5272,9605,5279,7865,8680,9067,7529,3143,1409
+,6753,2540,3870,2611,5959,5498,6133,8526,3655,8739,8514,6710,6094,205,8407,5458,2500,8233,7443,1885
+,7602,176,766,5956,1801,3022,928,153,1107,1157,8533,2729,5651,6106,7308,1358,2,7741,8832,3218
+,9596,2986,3557,7745,6944,5722,1417,6331,2234,1118,6464,5177,8840,1016,5831,1374,4347,6335,5856,8324
+,4906,6701,2549,4250,9173,6553,2697,9040,5415,4591,9564,1829,1,8458,8419,5283,7730,9741,5392,9223
+,8987,6517,9986,1136,5314,4060,944,8334,8356,9499,6946,1673,1804,2193,9985,890,2346,4538,5846,743
+,8776,9491,7525,5054,213,6759,5120,6938,9582,5479,924,9317,7524,3484,1325,3560,2726,4324,7903,580
+,3975,7034,4179,1958,5814,5343,2884,7449,7254,3332,3032,6773,3390,7347,1939,5670,2795,7979,2288,7301
-,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6359,2262,6662,4394,2485,569,6904,9271,3727,1082,6482,1607,4899,2483,4508,3142,3878,7306,8466,8111
+,3304,1791,6415,7020,6887,920,8960,1249,3681,641,9212,4507,7605,2507,8512,7163,4087,9465,2292,5343
+,8393,1997,2874,3173,560,5326,5623,9388,8565,6838,5812,469,6305,799,167,913,907,1026,1187,6568
+,4621,1952,7369,6923,9690,1334,7175,600,3141,5052,2120,2077,5717,9913,189,8683,5446,1097,6948,8380
+,2149,2979,414,8507,9965,4933,9162,3269,1431,5598,7746,3168,9649,9217,3826,6805,6112,7315,5091,3444
+,1836,5586,9011,7998,9188,5771,6671,4014,4781,426,2325,2368,3827,1784,6658,2433,7251,8711,6399,6648
+,6845,2080,7906,4082,8280,6617,2967,2098,7746,3484,626,1236,1175,9017,6695,7322,7760,359,7270,8118
+,1950,7353,5508,2763,9270,3547,2472,9620,5755,7953,2313,4403,7466,7820,321,9299,1041,861,8248,2614
+,2777,589,8118,6847,3606,6134,2295,6086,8726,8497,8232,5054,2520,9173,5349,2953,3430,7257,2077,4600
+,6584,6105,5773,6069,2994,751,1376,8473,5188,7050,6325,9292,2442,2690,2654,9756,690,507,8302,5931
+,1134,4987,9386,4055,7542,4558,6630,7799,6284,6981,2042,2831,9034,9897,9353,1707,2799,8482,1312,2759
+,2267,550,3763,2642,4772,9664,8077,4698,6337,2649,4917,6759,91,2094,4937,7376,3651,6819,1856,1263
+,789,229,6755,5951,8261,171,8024,3756,9463,362,4727,9200,9671,3445,8455,1569,4983,5098,5148,103
+,6955,8817,546,9227,6718,3618,5747,3331,3679,3372,3264,4084,7292,9193,3478,5153,2378,2130,1784,5660
+,4710,9996,3843,5867,5561,8617,2630,3229,428,9100,5122,752,1819,8840,3806,7453,159,6066,4925,1909
+,4292,5064,3306,300,9043,8048,3640,7148,1868,8593,4826,4949,840,6412,1683,2545,3048,7386,6812,2984
+,8848,9134,1783,3548,1424,4916,4210,9106,7057,5836,4239,1252,3853,8221,2758,1667,661,1183,498,5010
+,5075,2248,3001,9418,7304,8304,8340,1646,1408,5136,6686,5425,58,2819,4288,5957,825,2173,3304,6419
+,6235,79,369,1271,9375,9702,7322,5718,3643,3591,8334,8442,9665,5082,9056,1142,1230,206,8885,8016
+,4555,4993,7285,9053,1733,7417,9010,3061,4702,6547,5225,9875,9588,419,2479,6018,5621,2414,7497,7002
-,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,752,6394,2,2884,7097,1116,2006,8136,1289,5415,8609,1977,830,8835,7726,4863,920,2317,5041,9957
+,5764,3362,1869,5273,3982,3568,775,5806,1347,4549,2467,4849,1826,271,1891,7880,5388,8662,2376,9153
+,7294,6927,5355,3227,6361,7226,9991,2194,3085,9913,1434,1384,860,9294,6203,4749,2918,8974,4087,6236
+,8004,4698,4655,6562,8419,2364,7738,1972,2341,7053,8340,8127,6916,7818,4296,3861,5286,4424,1749,9398
+,6722,6198,8780,2669,7634,4921,7819,8704,9401,5281,2606,7005,8765,3673,3977,3812,7456,8774,4400,3218
+,4296,4745,730,6550,1087,9423,3295,9754,3799,1611,9666,399,16,7289,5001,4245,1949,8566,9033,2140
-,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2658,5364,1816,520,1928,8924,5432,1581,4221,4961,1443,1596,2315,8350,4703,9874,2557,9894,2187,1854
+,6674,2643,5604,1357,3977,235,3158,7569,5093,7009,2865,5445,8857,2548,3122,6496,6989,2624,9614,6482
+,170,2887,4634,5383,6592,7371,9528,7158,3614,3469,408,6592,222,5567,2683,8431,2865,552,744,4845
+,6604,6747,663,348,5179,2189,8320,3420,4779,9295,8897,7773,9499,3808,520,6765,9137,1870,8568,8835
+,6471,38,9980,945,4384,4447,65,933,3480,1841,6969,5313,6859,4265,498,1186,5461,5876,5633,5993
+,4015,2082,3550,808,9494,9873,6255,2539,6274,9511,2020,1370,716,8300,2175,1289,581,1994,3776,7590
+,6248,6316,867,6374,4622,9736,8669,6769,2548,288,6132,2841,7371,858,1069,7291,4481,1051,3317,2790
+,8277,6126,8398,8696,7729,7612,1101,3407,995,801,9811,6731,9838,7300,5096,9967,4252,4551,6802,6768
+,9500,6556,9899,6870,3483,698,4237,8814,6009,3993,83,3485,7649,9345,9864,8093,8837,596,8359,396
+,56,5582,4213,1802,9130,6926,6513,2410,8105,723,5351,8885,7331,971,9985,3834,6338,9638,1185,5346
-,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2728,7121,9160,3556,5407,4353,3984,4031,5064,409,2136,3776,2404,8067,2224,3902,5965,2062,2804,9881
+,5195,3647,5590,5976,4264,359,2700,7302,9428,4686,611,7316,8350,5539,8035,2226,9442,6302,8525,8805
+,4994,8597,1089,115,3936,156,2154,5426,9675,8251,8169,9018,5612,1300,1178,1413,7512,3292,2715,4147
+,3644,8590,671,4090,3681,3158,2352,1002,8764,2914,6496,6833,8446,5711,7658,643,4916,129,274,9322
+,7353,9303,5734,4196,7090,5190,3807,287,4185,9161,3615,3698,6133,4217,5224,5483,7968,405,7227,1934
+,5129,6401,680,8956,681,4341,7085,1200,5552,275,9024,8196,2317,1063,7208,7307,7600,8612,8123,2829
-,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3161,4788,6557,9613,1019,5526,6451,1987,3969,8714,22,5795,5072,3591,3263,2804,5625,2181,6407,6287
+,4547,7382,8920,478,3287,5605,9609,620,4227,8744,4560,2887,1806,8940,8461,2811,8663,7116,5898,5304
+,8039,446,991,5725,9123,2028,948,6433,8049,2756,4930,5928,4101,2807,2272,5039,2960,9321,5209,3994
+,4804,706,6025,447,5766,7985,964,334,1037,3370,7584,2414,6052,5262,2828,3213,5216,6375,2114,4762
+,8784,5063,9091,5562,1364,768,2343,4486,860,3316,1419,6796,9660,6125,4289,6768,3870,2948,5367,2089
+,1382,6314,5235,3758,2391,5268,279,4576,8305,8236,5452,6335,4615,2396,5776,2502,7713,6210,6369,4828
+,3681,1903,3479,2376,3817,4928,9586,3320,9485,7555,9496,3167,1557,7449,5418,2896,9482,6643,5474,1975
+,8829,5553,3983,1254,7364,7359,5575,7228,4498,4382,319,7434,3794,9985,927,4460,8806,2751,3624,4128
-,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6922,9378,8169,9676,1344,9476,9430,7944,6132,6753,2361,6734,4059,3714,2418,1041,7978,3550,3042,2347
+,3670,7694,3606,6040,1011,3098,3219,8091,4433,6088,6298,1451,7986,2676,5910,8235,6343,3545,8610,8091
+,8594,2037,9595,6243,5677,3686,2614,7384,6136,3681,53,6033,4091,8163,1262,4101,92,8891,5473,1496
+,6735,7083,2486,8991,4613,6505,8361,268,8037,2665,8180,1810,4227,2193,859,4738,5708,1822,8700,2764
+,4222,3297,7921,134,9544,8720,8916,386,8647,2544,1321,8535,2502,1342,5957,2168,3295,7896,1843,9878
+,5946,948,1510,5583,5948,4817,1638,6214,1861,6807,2889,2158,1577,6335,4504,5610,4576,3527,4712,6820
+,5196,207,5077,8381,1343,7886,1862,6895,3311,6118,2253,9456,8476,1072,6906,9966,419,8438,6417,8332
+,7741,6509,4759,9618,129,4099,4637,9101,6649,1016,2752,9121,6501,2249,7119,4253,7107,6889,4926,6437
+,459,4947,6018,8538,9451,6611,5468,6397,6659,9033,665,3350,4878,8538,5434,366,2859,131,3280,339
+,1197,5118,1158,6354,4245,6848,7607,7457,5539,9330,5131,7953,7997,5548,7562,8311,2026,4642,413,5506
+,365,3070,2898,4763,1794,6412,7549,8772,3675,3872,328,9223,3137,2365,1679,2547,7171,4068,2581,3295
-,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1695,6950,228,8300,1502,7803,1516,7096,9737,3201,9921,1066,8104,1785,8766,4264,2504,5127,4040,8580
+,4561,4312,2245,5381,2481,2079,5228,8978,6678,8702,9032,8176,3366,1543,1038,3708,628,3142,3212,6192
+,9649,6138,4102,7652,3932,9350,2513,9598,4372,8288,2329,3232,6344,1382,1014,6411,6420,920,1934,2531
-,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2609,3314,5129,4718,3596,749,7749,411,3669,6655,8266,9401,3120,8078,7535,1551,9240,4896,3295,3739
+,8578,1076,4104,6342,1268,2461,3462,936,8856,4537,6679,859,2019,349,3683,8641,8805,2254,3685,4706
+,3510,807,5715,528,2673,2570,8549,7252,1339,39,3420,9518,4422,2462,2920,336,711,8766,9477,1339
+,1593,7181,3318,9134,6379,4928,7119,2085,9660,7899,6377,7802,1175,5505,6891,8300,2760,6736,6122,2827
+,5435,7775,519,7845,3652,1757,7407,5645,3176,1216,414,7807,2315,4775,6670,7653,2506,5748,5236,4514
+,3107,8526,4730,5770,147,1814,9489,7940,1214,2735,1695,6392,2191,7963,405,1840,3383,2531,4921,6357
+,9768,828,5398,4890,8469,727,5204,2320,2273,4521,6848,692,1414,4459,8472,5529,4054,9713,1735,773
+,6675,8711,5974,7071,8940,1943,1725,7864,1220,2075,6687,5710,954,8726,815,7624,4220,3298,114,1472
+,156,8238,6528,8360,3769,77,6690,3233,8135,3887,9022,4589,2607,8233,1576,7660,8258,9394,3299,5531
+,7434,91,7405,8625,4803,2905,6408,8256,4513,4771,851,5989,6936,6365,3479,8518,7122,3275,8859,3136
+,980,261,5445,9343,5150,5252,1545,8896,8470,5743,7686,1257,5418,6627,8400,9059,8697,9108,3974,8480
+,4618,8633,6180,7715,3470,8674,705,9969,3009,6247,9441,7463,44,768,591,564,1558,1022,5003,9041
+,3608,9431,5402,4321,4182,5591,3485,4055,7361,9647,5968,4253,5188,7767,9972,9747,6727,3370,2204,9712
+,1272,8141,3294,6562,7875,5001,9535,5253,6918,8425,5535,2863,3842,7980,6327,6301,2292,7083,3589,3052
+,8218,2152,3034,2181,2633,5219,3127,547,7916,65,1281,2417,6044,5865,8735,4390,2236,2516,6338,4018
+,6363,2081,1770,5726,8402,2740,7392,1670,270,9276,5913,9947,3350,6553,2896,9802,1011,519,4411,87
+,8156,4104,1148,760,7525,5689,2355,2809,7119,5024,4007,728,3399,7226,1319,3007,2006,6098,7613,3201
+,4881,3192,4175,3151,1042,9924,2377,1106,4835,915,3361,8887,7339,838,5503,1884,1330,3731,6882,6138
-,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8734,1166,6075,5860,6189,3883,9002,9301,124,8113,192,3845,2225,7247,3615,2856,1140,8348,6251,1468
+,394,3774,7513,6994,3824,2546,3543,8836,9484,5192,2932,7239,6183,9930,9395,3094,4748,1745,2721,2905
+,406,9496,7319,6821,2512,8679,8807,8744,7049,5580,2773,683,6732,5621,9662,8021,8153,1677,2136,1947
-,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2190,3698,3043,6305,5313,9568,5564,8188,5517,6432,2828,2971,370,7636,413,8441,5498,5388,1523,897
+,8810,7914,5698,129,8889,5769,9391,7941,4568,793,981,6490,3176,1836,3898,2936,9165,2056,9438,9202
+,968,8830,3342,5881,5774,88,1935,4649,2330,1321,4695,2001,3442,289,8229,1067,8722,833,4350,9635
+,7739,4283,8303,9602,8985,9627,7855,1477,2804,4250,6646,6127,55,7311,5748,8854,8686,263,7943,5452
+,1953,8898,4449,5108,7295,6270,1989,1456,837,2348,1017,6313,7061,5411,324,6043,220,9912,2606,5784
+,8445,2885,7836,7419,9919,8517,3309,4297,7797,5147,1836,3295,538,873,5090,8254,1353,8956,871,9399
+,8988,1916,2369,1731,3684,618,2862,9850,6372,3883,6129,6445,3182,5919,7977,2280,6316,8957,6761,9490
+,7860,1662,3011,6839,5174,7356,2363,4617,732,7039,3717,4167,1785,5788,3198,7640,523,5554,1636,8513
+,9468,4992,1912,2352,1781,6319,1475,8032,8608,6578,8434,462,6001,8325,4141,3032,2834,5453,3565,2060
+,8827,9836,1796,1407,6131,1004,6923,1283,7040,5665,5606,5458,519,7036,2755,8749,7903,3487,6447,7449
+,6708,7202,4564,5139,9245,9497,5645,1239,7522,984,3744,6522,9500,8990,8518,3144,6870,1320,2731,2713
+,4322,7772,1877,620,9896,3226,7608,8854,3911,3517,2192,4047,1731,6309,6999,6685,4627,2740,7426,470
+,8043,6490,8777,5061,8068,3227,834,2592,7713,2770,7132,980,9471,7786,1313,1195,6492,836,9240,5077
+,4975,2511,4354,3810,6247,5887,4278,7256,5618,7567,8070,714,3336,4413,1539,6765,4627,3733,9048,6794
+,6410,4899,2930,5584,8025,5901,7408,1296,4136,717,6147,7108,399,3763,7774,2888,7343,1108,6327,7575
+,6678,2892,6627,7928,7866,14,3530,117,8799,8197,556,387,1581,4192,8315,5069,813,1800,2197,4542
-,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1746,8745,8552,3882,75,2858,5262,3831,8867,9249,4072,8321,670,1001,5165,9078,9361,1493,9577,4501
+,3147,7727,4458,9619,7928,3753,9355,9517,469,7849,9934,5960,1754,3650,350,6694,151,564,629,2509
+,3089,2881,2369,3495,3890,9733,8811,1520,6686,1245,7861,2996,1921,9032,7170,6032,729,6386,1385,438
+,7545,1647,248,3588,2841,7850,8094,230,6536,4252,6121,9027,6165,8604,5019,3176,6037,9873,9604,4804
+,5030,7340,6759,6592,2157,1165,4299,3408,412,3730,8037,7470,811,2953,611,6051,9051,3021,7131,8791
+,9852,7588,5826,7416,3497,2747,2735,2546,1771,523,8382,3992,3407,1453,8501,8509,8868,7549,7461,2345
-,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4517,5077,3033,8430,7370,4859,7422,2524,3146,2925,7089,1871,5003,1946,9421,572,834,6555,5494,1989
-,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6121,7478,8927,3740,7527,9855,682,8161,6514,4694,8675,8908,7043,987,8599,3557,5040,1977,5802,2897
+,5536,5194,6820,68,6649,392,9895,7753,7695,7823,4806,5628,8420,4053,4031,5587,9850,9840,9204,4958
+,4363,1669,5495,5622,3750,1078,2638,9215,3323,5898,7774,6551,1249,4638,5431,9371,7835,7470,5366,6209
-,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9200,4539,136,9675,9332,9909,4434,4392,2137,4025,1389,8371,7807,2526,5413,6871,3454,8180,921,9451
+,1575,8204,7112,2900,3436,8537,7098,8376,6499,2014,2012,8958,8825,9576,6534,35,4355,3552,9676,786
+,7387,9251,1457,9704,7363,1363,4772,4871,5626,2989,1009,2728,3372,7459,4177,4292,9045,3026,2684,1013
+,5197,2074,251,6709,3718,8386,4240,1888,5777,5494,7848,5454,6977,4830,543,1292,9923,5946,4391,8259
