OP,A1,A2,A3,A4,A5
+,2059,6745,8869,1104,9643
-,124,0,0,0,0
+,495,2806,6454,1472,5769
+,1567,426,3780,5448,3671
+,61,8720,1717,3345,2405
+,7051,7967,8603,3725,9462
+,866,1628,7634,2373,3864
+,5449,9914,8320,6955,6654
+,841,8650,874,7325,731
+,977,7431,6985,6453,2442
+,4079,8551,2885,2840,9379
+,6911,4176,4715,9795,6069
+,1737,1608,7500,656,3210
+,1246,8089,7982,4900,399
+,8341,2699,6801,9379,8657
+,912,867,362,3257,2657
+,7044,7855,8146,4848,1973
+,7407,2258,4334,7462,3105
+,9448,8009,4409,6464,2650
+,6043,9246,6792,5258,6293
+,8626,5592,58,9040,6028
+,5791,9125,6412,6907,1848
+,1422,6616,7650,9399,2677
-,448,0,0,0,0
-,106,0,0,0,0
+,2078,8082,8808,3233,6812
+,398,6165,8193,7423,4189
-,497,0,0,0,0
+,5813,6867,8026,9737,7150
+,7681,4,9545,8011,2588
+,2256,3041,2351,5479,7123
+,8281,3779,7345,2561,8515
-,996,0,0,0,0
+,2883,1928,9443,8190,7628
+,8157,3829,6945,2599,2527
+,9157,9982,9499,9281,4354
+,968,5228,9609,2176,783
+,35,3238,8241,9745,3068
+,786,1109,3472,4557,7046
+,4206,9812,6918,2062,2300
+,2874,810,1486,3510,5794
+,7058,9281,6291,5281,1688
+,5768,3119,7874,5790,5337
+,1472,5475,3817,2381,8941
+,4332,1652,3513,1586,4313
+,7553,5211,4404,9733,8815
+,5774,2653,8198,7882,3684
+,4430,8571,398,2181,650
+,4011,8348,5952,7630,5188
+,44,2742,1244,3764,4933
+,1179,68,8293,4106,885
+,245,8514,8674,8974,5720
+,2720,2460,8058,8433,3644
+,1654,8534,6536,4484,2888
+,7801,9718,863,3129,3204
+,4255,5404,293,8778,6660
+,2931,4678,4525,1533,2777
+,333,369,1032,1620,686
+,5959,3889,3315,5916,6700
+,1775,231,3053,892,9764
+,3341,2287,6836,5540,661
+,7903,5235,3431,5718,5637
+,668,4060,2270,4649,3961
-,762,0,0,0,0
+,4934,723,3159,6665,4800
+,3300,2373,777,9537,817
+,5815,5953,6546,6903,3978
+,139,761,800,5035,385
+,5569,8567,2145,8214,3810
+,4107,4971,3506,3303,7770
+,5283,6930,4125,9717,8390
+,5979,9316,9376,4261,3481
-,527,0,0,0,0
-,284,0,0,0,0
+,5444,8493,7182,1938,40
+,7643,1455,8261,4482,4059
+,8190,8638,6549,9894,6351
+,2826,168,8154,7300,343
+,2095,7557,1708,9775,4109
+,3798,3613,2782,1575,6162
+,2956,205,3714,9374,3530
+,1435,9376,1848,100,8983
+,5851,8804,1124,8902,9599
+,7397,6089,178,7435,5494
+,7116,413,6462,8439,3239
+,1738,5171,6975,6415,9821
+,6196,3798,6448,8983,1139
+,3352,5859,4417,7478,445
+,1293,4788,7978,9830,4922
+,9359,4989,6433,8847,3584
+,7184,3209,2373,9135,8415
+,8335,3845,1852,2002,107
+,4359,4131,8897,6773,1718
+,1513,6967,7132,3951,7952
+,3339,5013,9050,7211,2848
+,3129,6131,1433,5132,9988
+,9760,8517,1498,671,6721
+,7381,9243,4422,4869,3274
+,9838,3612,889,5911,4333
+,6005,2544,7387,4481,637
+,4077,5853,8785,7920,2476
-,369,0,0,0,0
+,6077,4679,9344,367,8639
+,1262,8596,2175,1818,2644
+,2633,3721,5381,2260,622
-,692,0,0,0,0
+,7249,5277,7250,9315,7966
+,4713,4562,5064,4561,6939
+,6375,1692,2834,6642,1314
+,9001,5375,2329,9437,5139
+,9847,7050,3381,139,3811
+,1616,479,6433,3351,8062
+,879,725,1519,8896,5625
+,4881,7114,2091,1020,2962
+,8533,9906,6791,3577,9846
+,5840,6797,9642,7809,2571
+,9878,2926,382,2122,6353
+,3601,9895,3698,4423,7824
+,281,843,1757,9529,3457
+,3109,8202,80,5559,8739
+,600,6153,2118,8277,2979
+,4162,3067,9139,1549,9384
+,7373,2230,1555,2529,9655
+,3424,6643,8078,7682,6810
+,7963,8389,8239,4640,7518
+,7655,50,5112,52,5395
+,5582,7513,7078,7483,7082
+,3622,2385,3196,9372,8869
+,5205,549,543,5143,1845
+,3890,3906,6504,2978,7486
+,4578,3675,7761,8578,2367
+,1534,4926,6366,3052,8961
+,6599,7457,9659,2046,9013
+,5060,4522,2472,8059,9369
+,4047,3798,937,9173,3237
-,543,0,0,0,0
+,5987,8123,8030,9216,4504
+,9167,987,2801,3124,8882
+,4100,5791,5385,583,1992
+,5790,4202,6436,6806,2348
+,3576,5143,6258,6442,9187
+,9571,29,9547,5674,8620
+,8015,5471,5695,7130,9451
+,2211,8199,5267,3779,3569
+,1473,4915,6492,2781,3688
+,7502,3989,417,6839,324
+,9390,9461,1626,5775,4297
+,6239,72,128,4475,6743
+,4140,4838,2090,4608,6219
-,757,0,0,0,0
+,4039,9255,7691,8997,1706
+,7871,9349,7305,7489,5254
+,1644,3683,6038,3113,3416
+,9356,5189,9391,3594,9282
+,5749,4139,4201,9252,5023
+,3070,82,8100,3752,1018
+,9339,2817,9158,5480,113
+,5913,8129,6747,3781,6066
+,8156,283,7262,5510,3081
+,6314,4027,2923,8125,2428
+,1764,9660,368,6530,1788
+,8408,6794,1538,454,6407
+,632,696,3876,4287,7059
+,2902,499,4946,6942,6768
+,5765,6420,5633,8642,9534
+,1636,29,7530,8096,684
+,3403,8111,4885,3113,2842
+,3534,3913,30,3538,8062
+,4187,6395,4686,9977,8834
+,6963,3783,8771,6412,1426
+,6985,5173,8141,6226,2300
-,567,0,0,0,0
+,514,5194,1769,5018,1452
+,6809,1929,7648,6060,638
+,9549,4695,2678,5665,7772
+,3093,5943,2319,3642,2660
+,7940,2370,4403,7387,3713
+,8978,4016,3172,6272,2859
+,3920,8201,9523,306,1569
+,6752,2070,5485,5121,778
+,903,8608,8233,8303,6999
+,6197,1694,3782,9147,8069
+,1690,5520,437,9934,9316
+,3566,1271,8302,1931,4227
+,7038,3296,8516,3678,3726
+,2712,2225,312,9957,5181
+,2770,6404,4591,1216,7840
+,4424,5561,7256,186,8166
+,3811,9032,8981,6927,3321
+,2389,9974,8910,2139,3057
+,1680,9284,432,5951,8595
+,8235,4466,8760,7252,9991
+,2221,6362,154,5085,7652
+,3543,6114,8488,1739,7768
+,6410,1293,5567,1060,7377
+,6453,1035,3815,8903,6784
+,9027,5648,3581,1706,1509
-,548,0,0,0,0
+,9562,183,3163,1036,5224
+,4191,8950,2056,4018,8467
+,4679,8640,5046,4063,6282
+,127,4273,6100,9495,1017
+,6612,4603,782,2614,2070
+,3546,5944,1735,3178,7196
+,345,4616,8432,2403,618
+,1470,7650,8275,3142,7703
+,1430,4686,2773,597,1892
+,6491,5808,5257,261,6748
+,3504,5736,1783,6242,8576
+,3224,291,9412,3239,2069
-,159,0,0,0,0
+,5270,4611,2212,744,1609
+,4029,5019,5567,2967,8849
+,828,6649,2809,987,8332
+,8974,3637,4949,6987,666
+,3469,2809,5373,8454,8519
+,9363,4024,3838,8117,546
+,4393,4069,5577,8791,2321
+,3099,8980,655,6447,3674
+,3328,6686,5363,2061,9463
+,8167,6152,7177,5223,6278
+,3447,1717,3339,3602,926
-,936,0,0,0,0
+,5021,344,8179,9826,9964
+,990,3769,8219,6135,7691
+,6067,6852,1089,6548,5433
+,9915,5406,51,5758,8007
+,4382,2503,841,1807,4548
+,557,8996,7619,7426,6160
+,8124,4989,6258,352,2685
-,707,0,0,0,0
+,5763,5732,504,60,2391
-,468,0,0,0,0
+,7931,5292,2743,7894,3868
+,4068,2301,289,5587,398
+,4161,3303,3609,8802,9323
+,6386,6953,4060,1685,4237
+,1452,6975,2627,4286,1083
+,1587,8088,6873,4770,3770
+,9323,4058,1976,4528,9357
-,618,0,0,0,0
+,8311,7811,1298,3524,3355
+,2809,4370,9486,1276,3875
+,1883,3502,2956,5002,1470
+,3258,6470,4325,3816,8315
+,4871,955,490,5483,9433
+,846,7213,6052,2168,4345
+,6833,6821,586,8975,9613
+,2820,7517,8084,2851,7467
+,8899,4728,2411,2063,8477
+,4618,2672,4721,4014,4681
+,4883,7755,7996,7451,668
+,9916,3353,9239,336,9831
+,3726,3405,4688,931,8487
+,9234,7192,7989,5321,8119
+,8030,8832,7645,7457,9918
+,8521,4626,7440,3225,4075
+,7917,8390,6951,4510,5601
-,87,0,0,0,0
+,539,6506,1687,365,76
+,3720,5014,7482,8405,5829
+,8647,6585,5385,6778,1952
+,616,8012,1432,8045,1327
+,4025,6913,4169,6150,8335
+,7772,5532,1622,4320,1555
+,6703,7833,3733,465,4041
+,8203,8237,8060,5623,7325
-,65,0,0,0,0
+,3742,9286,1448,9536,2535
+,7941,6017,5435,9520,2160
+,1267,1652,9470,868,1347
+,1413,4799,3639,6816,4767
+,6209,1377,4403,4479,642
+,3443,1445,228,4445,2688
+,2546,9648,1668,8380,7817
+,2457,3645,9274,7306,1274
+,526,4201,1176,8428,5730
+,8952,5204,283,5320,91
+,9781,2329,7511,8705,8311
+,1965,2417,7386,10000,4405
+,9050,6284,9543,5605,4613
+,2973,3039,6761,6640,424
+,9935,677,389,4259,1347
+,5263,8459,3713,8268,5537
+,2717,8951,9637,3527,837
+,4021,7297,4192,5833,5652
+,23,9163,7679,3020,9593
+,793,8749,3247,5938,1497
+,2423,8078,7180,6884,6501
+,9960,5419,8926,9179,9492
+,9859,5956,6463,5832,9596
+,9005,3825,7945,5841,7125
+,5572,6774,429,2349,9165
+,415,4665,17,5070,5678
+,3251,7952,7696,5322,2988
+,7650,8135,6957,9925,9040
+,351,1321,3529,8021,7152
+,2045,4830,3667,7316,7348
+,41,1841,9133,8620,3529
+,730,7641,5539,4500,7680
+,3687,717,124,7068,7476
+,4362,3071,7707,2106,7604
+,6786,3696,4018,477,5252
+,6245,595,6153,9991,8686
+,7859,2278,9430,3544,5801
+,8632,2217,3482,4224,162
+,4397,92,6456,1146,5199
+,8041,2313,2017,6043,5834
-,173,0,0,0,0
+,5321,6079,7293,9050,3539
+,8757,5769,838,9566,1595
+,5455,2743,2525,139,9632
+,9245,6520,8136,9563,7761
+,2749,9437,5689,8155,6760
+,9108,8292,7857,1026,7403
+,5872,6255,2538,8295,1101
+,3291,7959,1881,8793,6993
+,1830,153,1661,8239,5230
+,7825,9276,5308,9700,6909
+,9723,947,6377,1416,5151
+,8332,9111,6989,5345,8496
-,36,0,0,0,0
-,316,0,0,0,0
+,5621,5654,373,412,4723
+,9026,6122,9798,3155,9451
+,3416,7603,2644,283,3423
+,6848,1486,60,883,3356
+,7578,8818,9451,1967,9041
+,211,1694,7534,6256,533
-,831,0,0,0,0
+,1320,171,9096,8927,4044
+,517,6940,450,3660,6264
+,4811,3986,1417,7004,608
+,7570,2870,728,9701,2270
+,9668,7773,9728,4938,7245
+,2252,3087,3341,3105,568
+,8194,2361,910,5878,7238
+,3264,803,9786,5199,9616
+,472,9341,3034,7942,4579
+,1209,2130,8923,7140,3755
+,1409,9296,5348,9611,9567
+,2391,3895,4885,6380,5345
+,7947,9721,1450,9612,7473
-,71,0,0,0,0
+,8569,2890,4115,4791,8102
-,249,0,0,0,0
+,909,116,9922,754,762
+,3814,9140,9991,4242,3702
+,2115,3649,1919,6587,5085
+,1907,759,2260,2879,5948
+,5285,6044,3598,1339,3226
-,890,0,0,0,0
+,5396,4976,3565,1753,7485
-,310,0,0,0,0
+,2524,8315,4064,1876,7869
+,6450,4901,9597,397,6493
+,6537,1972,7979,3436,5626
+,9845,5011,5017,4964,173
+,9376,8825,2296,2852,6730
+,2670,5022,2595,7430,5344
+,3855,4885,734,6783,1354
+,2716,4082,2148,4426,4249
+,5217,7823,715,2094,2581
+,208,2578,963,1337,5473
+,9276,1256,7030,1998,571
+,5022,933,7412,6247,3363
+,6961,6238,8736,3320,4690
-,882,0,0,0,0
-,241,0,0,0,0
+,9333,717,6659,1662,8794
+,6867,7661,9984,2023,2231
-,627,0,0,0,0
+,3657,3423,3787,8782,145
+,3149,5145,2668,7826,132
+,1230,3132,1473,2216,7431
+,1605,263,4629,3338,2793
+,3012,1727,305,5575,6571
-,95,0,0,0,0
+,748,445,5095,7878,3593
+,9223,5627,5526,1414,8981
+,7868,9616,6010,6449,6147
+,43,1254,7104,5786,7973
+,8457,5232,2367,1586,5762
+,2872,7178,6509,4024,1184
+,4935,1561,3412,3181,8564
+,3997,5078,8150,8266,2384
+,5320,7273,2659,5468,3382
+,6609,6963,509,7104,9963
-,538,0,0,0,0
+,5996,5797,7317,3959,5034
+,6623,9155,5108,2087,6192
+,5649,3540,9112,5382,5130
+,3833,7379,1399,4138,6610
-,849,0,0,0,0
-,309,0,0,0,0
+,8900,6643,414,9402,8484
+,7296,1872,9613,597,8805
+,573,9278,8608,7182,3468
+,3732,6014,9762,9200,4899
+,9868,3573,7597,2867,2464
+,5590,1792,8868,4474,1481
+,2665,9065,1822,8513,5583
+,6711,4388,1587,3131,7985
+,7342,6169,8756,1871,2963
+,3570,4792,5635,8747,3206
+,8831,455,4011,998,632
-,52,0,0,0,0
+,4804,7430,8372,342,5672
+,3330,5630,8983,7027,1607
+,7090,7624,4567,3708,6188
+,8597,332,3418,7582,2858
+,5173,2914,1157,162,2031
+,8588,359,9148,8159,8512
+,1797,6633,1914,8490,380
+,5445,2717,701,3750,1698
+,9542,7028,6219,8378,9553
+,9215,1844,2491,9146,8710
+,1772,5954,4469,8353,1527
+,8928,1884,5934,2395,2600
+,3584,14,7635,4428,7574
+,6138,1881,1716,683,4203
+,8103,3224,6406,7151,8513
+,8319,1735,9960,1397,9420
+,9605,4266,6071,9625,8443
+,3862,5428,4087,6517,4523
+,801,9150,7599,7240,7477
+,8498,2072,3401,7507,4626
+,8981,7340,1146,7764,4266
+,6680,7184,5724,6587,215
+,2169,3706,5314,7954,877
+,6501,4289,7452,5366,4636
+,8683,2918,206,97,8474
+,8088,6093,1805,4347,6513
+,540,6947,3871,5870,8650
-,856,0,0,0,0
+,8391,2371,3595,6871,7048
+,597,365,7026,2954,2953
+,9038,5232,1018,5738,4988
-,8,0,0,0,0
+,153,809,886,2288,4074
+,9598,4844,9236,4512,719
+,2280,330,2925,2514,9389
+,3026,4940,7067,3744,760
+,752,1387,621,262,8717
+,966,2116,2519,171,7798
+,4993,6395,8128,724,5114
+,4839,9628,6221,2457,1647
+,2286,7231,3994,3759,6233
+,7687,986,6896,5062,3946
+,9842,3968,9429,8669,4082
+,9939,9283,906,5052,7049
+,8470,4096,8433,3016,4514
+,9249,3761,4529,9568,6729
+,2718,6666,5137,6080,5348
+,7615,5333,3006,7189,8378
+,3643,5170,4457,1170,5317
-,728,0,0,0,0
+,6221,3318,9354,6473,7536
+,7670,5250,4980,1552,5762
+,387,2234,3136,1875,6087
+,1290,6887,7470,274,919
+,2281,8536,6222,5244,9153
-,430,0,0,0,0
+,6533,8253,7286,7787,3714
+,118,4863,1425,2711,4553
+,4519,2927,3587,2059,5134
-,135,0,0,0,0
+,4145,6409,2800,3450,8838
+,6578,9823,4119,6048,7519
+,4917,83,5091,2939,9357
+,83,378,5494,4479,8303
+,6188,2749,5620,6767,5833
-,765,0,0,0,0
+,676,6695,3885,7937,3872
+,4981,7083,1242,6918,9124
+,3701,2383,8123,1447,6858
+,133,815,1866,8695,6942
+,5591,2798,5902,5726,615
-,799,0,0,0,0
+,99,710,9682,2290,3969
+,3564,230,8593,4171,5702
+,8026,6165,9605,4393,9180
+,1476,2455,4364,5062,5050
+,3958,6311,4963,9428,553
+,1296,5073,7467,2093,4210
+,693,4775,3981,9145,8690
+,8306,3286,4447,702,9870
+,9740,3217,5779,5479,3966
+,8835,4700,7594,8125,2569
-,248,0,0,0,0
+,4336,1584,5662,6483,1268
+,1774,1886,540,3204,8916
-,915,0,0,0,0
+,2261,6838,6788,73,8917
+,5687,9251,7996,7735,7391
+,4930,2595,4955,3889,672
+,5707,8081,2045,665,6454
+,298,8422,8581,8696,5076
+,7486,3516,3800,1803,8563
+,6153,7925,6681,5558,1469
+,366,7330,8327,9227,7280
+,8247,6991,783,310,466
+,9985,1359,1660,8673,6257
+,9294,8746,4609,6780,2367
+,6962,1040,4552,3113,1389
+,3824,9699,1943,4581,4373
+,933,46,7667,5589,3495
+,2825,6294,1587,6488,1665
+,2903,9017,4293,5786,492
+,7169,9763,36,6286,9286
-,826,0,0,0,0
+,6969,1185,4207,791,6725
+,8833,4275,2746,8058,3981
-,827,0,0,0,0
+,2294,4854,9117,3743,6329
+,1674,7194,4451,3041,7021
+,4790,4309,1965,4920,4587
+,9981,7585,7425,7182,5089
+,9189,9746,4666,9320,7734
+,7251,9275,3832,7841,3827
+,6182,8127,3900,7541,4453
-,896,0,0,0,0
-,29,0,0,0,0
+,1119,8934,2590,807,4760
+,1840,66,774,6833,538
+,4097,8560,1936,4690,4421
+,2047,7183,1320,1795,2283
+,6727,5351,4925,5644,2744
+,1972,7450,4144,3892,8534
+,32,7278,6537,5980,8628
+,1952,8163,4196,5627,7665
+,1038,256,7429,6530,6419
-,870,0,0,0,0
+,4552,8661,6841,8755,6310
+,1964,5997,9601,875,9853
+,2630,524,404,3733,3648
+,3699,8402,3870,5952,5693
+,4392,9073,1089,5462,9850
+,2210,8255,6773,1424,560
+,9385,5302,9690,906,9465
+,7470,885,9361,1195,4501
+,5557,5984,1515,1175,3132
+,271,4488,2793,3723,492
+,160,4213,1395,1314,1331
+,1876,4766,3915,9599,1326
+,3572,5868,8586,4192,9509
+,7846,3482,6163,5113,3361
+,563,8091,3294,2796,1405
+,7305,8858,2320,2057,4472
+,1132,5630,1188,2823,9786
+,701,6926,9089,9955,9931
+,9351,5442,3452,8239,9798
+,334,9140,7539,6564,3525
+,1009,9781,4516,9870,3949
+,1663,2300,8327,4612,4313
+,219,4705,6014,8279,3216
-,875,0,0,0,0
+,3750,4550,3766,5123,6471
+,5550,3433,3195,6279,192
+,1886,8987,7763,7469,3428
-,7,0,0,0,0
+,277,3975,2850,8801,5192
+,5853,6891,4435,1933,4350
+,5220,6064,8417,8347,2415
+,2368,4110,5714,683,7283
-,175,0,0,0,0
+,9528,7225,7188,4381,4253
-,244,0,0,0,0
+,8231,9562,344,7252,3185
+,8499,2571,6211,7188,9798
+,2882,7028,5553,6680,1832
+,9989,3792,780,697,2185
+,9748,8106,466,135,9944
+,3105,8167,7382,1109,3869
+,8596,5662,8213,6466,3829
+,4377,8148,7946,9501,8710
+,4063,6681,2067,4559,9406
+,2264,571,6603,9224,1978
+,1592,617,2965,652,8993
+,7260,4621,6931,3670,7388
+,1979,3640,3286,8043,3768
+,8402,8579,7582,7372,6369
+,4049,1367,9845,4544,8529
-,337,0,0,0,0
+,5189,8247,7786,8332,6570
+,8283,1656,1820,6946,6080
+,1324,3290,7703,2203,2364
+,7383,9714,1050,3776,9016
+,6200,5476,7080,5800,9048
+,8767,1209,6656,1086,7063
+,1238,6351,4741,5150,5981
+,4390,8351,6779,4298,261
+,7242,7533,3918,8034,9836
+,8155,9338,4751,8481,5791
+,5934,3087,1235,3357,7687
+,4899,10000,3753,327,1821
+,5073,5105,6806,5482,2772
+,7749,7257,9980,6261,4701
+,5624,5483,9318,5762,9882
-,934,0,0,0,0
-,388,0,0,0,0
+,1195,2865,998,4461,9457
+,8630,2214,9320,720,7059
+,6064,8119,8309,4243,571
+,1041,5591,3691,2153,9183
-,363,0,0,0,0
+,8474,6300,9134,4754,1459
+,3217,7652,3220,4857,8329
+,2138,6456,6586,8749,1628
-,606,0,0,0,0
+,9996,1996,9207,1428,6894
+,5170,1062,9333,5345,1514
+,1547,4041,8603,2555,5560
+,7576,357,2217,5785,4572
+,6951,2396,6403,4575,9374
+,1498,592,2945,6643,230
+,140,8276,9702,9375,7807
+,1652,450,8992,9228,3867
-,821,0,0,0,0
+,6636,1730,4457,7096,3769
+,3957,1969,819,3404,7980
+,7864,7696,8791,332,1060
+,876,6348,298,6820,1098
-,565,0,0,0,0
+,7838,5652,5887,1053,7761
+,2089,9322,5410,5382,5381
+,926,8653,5123,4337,2748
+,1326,3741,207,823,8969
+,6288,8700,2590,8763,8640
+,1076,7796,838,5338,5443
+,1930,8885,1286,6484,6296
+,2912,8729,6557,7514,5149
+,1643,1236,2542,7354,9490
+,8049,4163,9303,6240,5261
+,8713,9507,8268,4198,8669
+,1880,7992,1313,1310,5442
+,6451,6176,5135,3254,3348
+,2836,7291,2492,7172,160
+,4216,488,1225,3125,476
+,5215,155,5905,9810,1470
+,5703,7047,9947,4020,3432
+,7375,9827,4554,4772,4928
-,675,0,0,0,0
+,9342,7554,499,781,4195
+,4307,2375,8689,1097,7211
+,1480,140,2421,8499,1164
+,9380,6217,3705,7342,3964
+,6913,9980,7798,9405,8681
+,8882,3411,917,4701,1849
+,2377,9400,7250,550,7089
+,5397,9630,8130,9691,2313
+,6678,8482,2179,3784,1449
+,8551,4629,3269,5164,719
+,123,1679,9658,8768,8011
+,5000,3942,6179,2556,3512
+,5825,1767,1196,5938,2360
+,2282,456,8086,4695,7536
+,3392,4578,8519,9973,677
+,4538,6606,3237,9631,1130
+,1753,8470,9831,8732,3482
-,796,0,0,0,0
+,8293,6199,9940,8226,8116
+,1370,111,5416,7968,1800
+,4936,3866,3116,7166,6656
+,5292,4401,3500,2973,3574
+,2466,5878,8681,3815,8672
+,3018,7250,2578,7715,277
+,5116,3556,3146,8430,8568
+,9610,5536,5923,6926,7244
+,2170,472,4175,4883,7331
+,362,6554,1025,7097,7536
+,9263,2598,1733,781,9473
+,7392,8010,7497,915,4864
+,4368,2263,4321,7696,5731
+,9274,9530,8738,1809,7138
+,1923,6903,4708,276,6528
+,1045,2208,478,1055,8628
+,4080,3764,4551,8645,5733
+,2338,3051,3185,7790,6322
+,8348,506,3883,9119,3774
+,6228,5772,2044,2333,1907
+,443,6682,6011,3081,2143
+,8733,354,4222,7770,5925
+,6915,2469,2428,9354,7625
+,4219,2319,5145,9180,7038
+,3965,6441,5532,4408,8813
+,9383,3986,9009,1290,759
+,7119,9535,9207,6700,4795
+,6593,9929,1975,8255,8411
+,7436,2947,5184,9702,3940
+,7065,9881,7999,6498,7024
+,8284,2847,1694,2223,5092
+,1256,8511,5110,3848,4426
+,1669,8646,6349,2963,747
+,202,2020,4922,9792,9205
+,2842,6330,841,4119,1289
+,3155,1627,3561,4509,9842
+,7585,9486,4552,1028,9388
-,925,0,0,0,0
+,1092,772,9129,626,9045
-,533,0,0,0,0
+,7083,7336,4333,236,3782
+,8415,6993,9675,8872,3485
+,2238,1909,2892,4107,3851
+,45,9793,2714,4981,1787
+,4259,6780,7152,6468,2472
+,6728,6869,1258,7559,5294
+,1065,9563,4385,9689,2721
+,7784,5637,826,9315,1324
+,6777,1334,8096,1480,7699
+,297,9523,1864,9533,7852
+,1885,864,1688,8693,7007
+,9992,446,9879,3967,7880
+,2109,9890,5939,865,7895
+,8497,3249,3975,7175,4755
+,300,3447,7065,3254,9723
+,6545,5346,2989,4970,9656
+,6924,8927,1091,9861,5780
+,7274,3584,747,5281,5860
-,21,0,0,0,0
+,6178,2434,5953,5874,6903
+,7747,884,941,3501,7083
+,5501,5447,3950,2846,4319
+,1,2111,1622,1092,1397
+,5764,5709,6495,7525,3598
+,7818,5432,8785,6910,8623
+,7778,3872,4595,8928,852
+,1761,4696,8133,6805,7571
+,8870,362,1385,6501,4471
+,7029,2866,2476,2102,9165
+,9697,9408,8515,1468,4695
+,4897,7102,9402,275,1183
+,9563,5724,4704,8622,2703
-,258,0,0,0,0
-,428,0,0,0,0
-,163,0,0,0,0
+,6887,1004,3540,7913,6966
+,2942,389,7938,1088,4796
+,2551,5365,8703,4255,8629
+,1236,9175,3512,1581,2765
+,7475,7104,1175,8346,3443
+,5074,4789,6891,2373,6312
+,8754,7101,2405,328,7831
+,6050,4013,5599,9752,7029
+,6732,9792,7960,3068,726
-,21,0,0,0,0
+,9101,6432,457,6841,2984
+,8795,6373,6704,7932,7397
+,7727,8632,499,3782,1606
+,2402,6053,2175,7348,5759
+,5293,7104,9538,3040,799
+,7849,8020,3081,8214,170
-,3,0,0,0,0
+,7785,7279,6235,3856,1291
-,343,0,0,0,0
+,9667,793,8312,3550,779
+,7468,7700,7101,7680,262
-,622,0,0,0,0
+,4009,9902,5643,723,503
+,335,7851,7742,551,2684
+,8213,9099,4971,6323,6991
+,910,1807,4644,6674,866
+,1700,9332,1821,5498,9459
+,987,2669,9003,1044,1162
-,586,0,0,0,0
+,4207,9257,9796,7593,8045
+,2864,3334,2784,3385,733
+,1782,3314,3585,877,4359
+,981,1643,1860,6810,8469
+,6637,1092,4796,2819,6110
+,8509,6096,8662,65,8103
+,9060,7413,3215,3830,6469
+,4448,292,5727,2977,5138
+,5997,4260,7925,1397,3951
+,7632,496,643,3996,5798
+,3219,1596,6065,2421,9378
+,4568,8251,7772,2903,5580
+,2651,9486,6121,4760,7001
+,2704,1043,2911,8954,984
+,7176,9922,5726,6206,9945
+,2304,9070,4153,551,7556
+,4642,3918,8468,6175,5235
+,9658,568,1577,3541,5685
+,5413,4944,543,1070,137
+,4691,4054,1122,9430,1830
+,2614,3604,2933,5886,8670
-,821,0,0,0,0
+,4778,1855,8566,9546,2278
+,5545,5752,2107,8413,424
+,2738,2195,3190,3602,9518
+,5117,7856,1317,74,3189
+,4671,2208,9977,25,1721
+,7814,4910,171,8057,6257
+,73,9591,72,1641,2366
+,4208,4907,9564,1068,384
+,9395,2541,2527,7985,2080
+,4914,2942,3021,7580,6102
+,9888,3610,904,4130,9819
+,2291,3458,7085,2998,3244
+,8741,6296,1144,9487,8962
+,4570,8029,1167,4866,8419
+,1583,8572,1754,8926,3371
+,2783,1197,7268,361,1597
+,7595,1937,288,4949,7916
+,7636,5031,8460,9695,6019
-,49,0,0,0,0
+,1676,8758,8008,4745,3312
+,6392,691,204,8212,9193
+,4270,3645,3105,134,2757
+,7462,2931,1033,3949,1003
+,1866,3880,220,6593,2111
+,504,615,5714,8903,7671
+,4582,1760,680,1397,3990
+,8694,8891,5635,606,6485
+,7945,3087,1929,2325,7419
+,9767,2212,9185,7650,4749
+,6403,7621,7176,5127,8046
-,650,0,0,0,0
+,3367,9895,1082,8738,6035
+,8393,6097,9034,4955,1207
+,3384,244,4586,3641,7038
+,5400,3396,6950,4261,3178
+,6754,6168,3739,6433,2866
+,7182,3100,4434,2955,5258
+,1554,2602,2959,1286,1393
+,4617,4524,8636,9311,8216
+,8506,8084,9689,3878,6812
+,4792,3683,2043,6078,8560
-,535,0,0,0,0
+,3825,5116,4900,6428,4357
-,345,0,0,0,0
+,2563,3389,9795,710,2725
+,6033,2353,7071,612,8292
+,8536,4442,5696,5242,7290
+,7656,2685,2957,7184,2453
+,4275,99,5719,3771,5900
+,4987,1321,2754,5319,1723
+,5044,8432,2433,9732,9902
+,3785,820,6344,7980,6909
+,4555,2147,6670,9285,7886
+,1647,3161,9665,703,9493
+,995,9460,4110,5674,3889
-,364,0,0,0,0
+,213,4212,9901,8417,1935
+,7117,961,1082,8411,3298
+,3379,6663,6844,5745,7004
+,3143,4354,6855,6515,1749
+,7059,4550,9863,8116,9005
+,8920,1252,1744,3959,986
+,5598,2925,149,8061,2741
+,2891,2619,7260,2940,8361
+,7254,8355,1869,4508,6904
+,4199,1615,4844,175,6395
+,9902,6728,9598,7138,3962
+,8134,8376,4662,6938,2850
+,5735,6843,5011,1619,5710
-,551,0,0,0,0
+,9979,7031,4709,4977,2504
+,7924,7559,8930,6494,7090
+,2157,7616,4959,81,6028
+,81,328,7949,9610,8229
+,2116,340,7624,6879,4074
-,869,0,0,0,0
+,6790,7524,8005,4602,8864
+,2504,1015,2573,4227,2387
+,1381,8335,44,3460,3704
-,588,0,0,0,0
+,4626,4044,9357,1156,4843
+,4814,4381,2429,5400,4746
+,9429,2646,7743,2167,9639
-,510,0,0,0,0
+,1305,3180,8078,2616,1115
